X,Y,OBJECTID,PARK_ASSET_ID,PARK_NAME,ADDRESS,WARD,DISTRICT,STATUS,FOUNTAIN_STYLE,CONDITION,OWNER,MATERIAL,MOUNT_TYPE,INSTALL_REPLACEDATE,DOG_BOWL,BOTTLE_FILLER,BOWL_TYPE,WATER_MAIN_ID,WATER_MAIN_LOCATION,COMMENTS,SE_ANNO_CAD_DATA,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,VINYL_WRAP,VINYL_WRAP_TYPE
589558.322,4784760.829,73,129,William Connell Park,1086 West 5th St,8,South,Off,Single Bowl Fountain with Water Bottle Filler,,Facilities,Other,On Building,,No,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,dbda2a0f-4983-4a47-8152-e0bc1f148841,,
590820.6988,4782695.4575,74,130,Turner Park,344 Rymal Rd E,7,South,Off,Single Bowl Fountain with Water Bottle Filler,,Facilities,Other,Stand-alone,,No,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,769ffaeb-6e87-49b1-ba8d-5c9e7b3c5f79,,
587104.6356,4789449.7619,75,131,Alexander Park,201 Whitney Ave,1,North,Off,Single Bowl Fountain with Dog Bowl and Bottle Filler,,Parks,Metal,Stand-alone,,No,No,Double Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,ce24e6df-f3c8-45db-9ce4-a5282ceb1aca,Yes,Swallowtail Butterfly
591691.3944,4791352.3212,76,132,Bayfront Park,200 Harbour Front Dr,2,North,Off,Single Bowl Fountain with Dog Bowl,,Parks,Metal,Stand-alone,,Yes,No,Single Bowl,,,Left On Button Broken ,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,ac5bc9aa-aa6f-4c60-a0a7-eafe1ffa046d,,
589156.9442,4787964.3513,77,133,Colquhoun Park,20 Leslie Dr,14,South,Off,"""Shorty Green"" Single Bowl",,Parks,Metal,Stand-alone,,No,No,Shorty Green,,,"needs painting, base heaved ",,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,919b2352-b434-4158-a3e7-3841cc1f0b8d,,
592322.8777,4789027.3372,78,134,Corktown Park,175 Ferguson Ave S,2,North,Off,Single Bowl,,Facilities,Other,Stand-alone,,No,No,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,d3fc0f6f-f9f7-4eed-a2e2-5acf4329a75b,,
589705.2341,4788763.2114,79,135,Chedoke Radial Trail - Dundurn Trailhead,534 Dundurn St S,1,North,Off,Single Bowl Fountain with Dog Bowl and Bottle Filler,,Parks,Other,Stand-alone,,Yes,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,651283b8-972e-407e-a1f8-fe051101c918,Yes,Bee and Flower
604643.2998,4785848.1699,80,136,H.G Brewster Pool,200 Dewitt Rd,10,East,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,913b5197-2970-40b4-904d-7d1e31eaaee9,,
594950.6626,4789164.2549,81,137,Jimmy Thompson Pool,1099 King St E,3,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,e24be77b-ee43-4254-b511-9d11b2d347c7,,
593717.4122,4789996.8529,82,138,Norman Pinky Lewis Recreation Center,192 Wentworth St N,3,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,56daa19d-7414-4650-ba3a-0632eba0d0e2,,
598514.847,4785722.7463,83,139,Sir Wilfrid Laurier Recreation Centre,60 Albright Rd,9,East,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,04ae2ec2-3637-4713-83a2-2c69f4a78f5a,,
597794.1836,4787933.5424,84,140,Sir Winston Churchill Recreation Centre,1715 Main St E,4,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,2f4501f0-6f32-4853-bc10-bb295a6a2852,,
600455.1825,4785752.0242,85,141,Stoney Creek Recreation Centre,45 King St W,10,East,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,fd5defdc-3f1e-40e2-8ce7-b9c54ec680c7,,
597648.8659,4782932.9535,86,142,Valley Park Arena and Recreation Centre,970 Paramount Dr,9,East,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,6092a093-6519-438d-b3c0-5cde53efe4c6,,
581246.8278,4785531.5771,87,143,Ancaster Lions Outdoor Pool,263 Jerseyville Rd W,12,West,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,d12b5db8-4195-4302-9223-8f320f0cff6f,,
593584.1075,4790563.4942,88,144,Birge Outdoor Pool,167 Birge St,2,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,a058fdc2-68fa-4af3-8a23-f0833144583b,,
588920.2822,4787954.3182,89,145,Chedoke Outdoor Pool,90 West 25th St,2,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,31c78f71-4a1a-4d45-ab47-1c56a6b35ccc,,
592551.4462,4787799.5209,90,146,Inch Park Pool,400 Queensdale Ave E,7,South,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,91a0a4f9-3307-4d31-ae13-fb94a9b901b7,,
597899.6954,4787786.8353,91,147,Parkdale Outdoor Pool,1770 Main St E,4,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,8b179229-809b-4b0d-b782-6cf30939718a,,
584106.4716,4791026.8159,92,148,Dundas Lions Memorial Community Centre,10 Market St S,12,West,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,9f94ec39-d1f5-4d4f-8694-75872ecd4280,,
609572.6261,4784830.5756,93,149,Winona Community Centre,255 Winona Rd,10,East,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,3f20196c-93bd-460e-91b9-f13b1bd4248c,,
572073.8193,4794367.0754,94,150,Beverly Arena,680 Hwy 8,13,West,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,eb154793-c293-4b84-a1ec-914dfd33890e,,
587599.0364,4787899.1939,95,151,Chedoke Twin Pad Arena,91 Chedmac Dr,1,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,fa1322de-4b39-465f-94f7-17593bbad504,,
589588.629,4790812.442,96,152,Coronation Arena,81 Macklin St N,1,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,86cf517a-a8b2-43ec-800e-fd8f46451e29,,
592805.8378,4791730.8814,97,153,Eastwood Arena,111 Burlington St E,2,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,2c1995aa-e8a7-439f-a614-37c242693229,,
587362.6833,4796121.3607,98,154,Henry Howell Twin-pad Arena,27 Hwy 5 W,13,West,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,dbd68db0-df46-4d59-832a-977ffb575b1d,,
592616.3688,4787785.7534,99,155,Inch Park Arena,400 Queensdale Ave E,7,South,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,339c84b5-6284-49be-b094-54ae74d3c44c,,
580595.628,4785493.1558,100,156,Morgan Firestone Arena,385 Jerseyville Rd W,12,West,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,f1ad29c7-1168-41fc-a963-7df0612dea68,,
597940.3825,4787790.0583,101,157,Pat Quinn Parkdale Arena,1770 Main St E,4,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,d057fd23-884e-4527-b2c2-38b426b4aff1,,
596874.7257,4785825.4354,102,158,Rosedale Arena,100 Greenhill Ave,4,North,Off,,,Facilities,Other,In Building ,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,93e81567-b034-4c2a-afac-d9a9e5f4e0d2,,
605189.8995,4785837.486,103,159,Saltfleet Arena,100 Greenhill Ave,10,East,Off,Single Bowl,,Facilities,Other,Stand-alone,,No,No,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,a29bbac9-e6da-4c0f-9673-03273801b675,,
600380.3905,4785612.2329,104,160,Stoney Creek Arena,100 Greenhill Ave,10,East,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,9ad36f09-15f2-4ab3-84d2-7ddb780c98d8,,
586472.7177,4791642.1078,105,161,Westoby (Olympic) Arena,70 Olympic Dr,13,West,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,7671b277-ac01-46f7-b467-d0d306eebbd4,,
